"ID","ID_nxt","x","y","is_canal","Q","V","H","slope","Q_design_m3s","Q_model_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_season","Q_value_origin","Q_derivation_rule","Q_source_note","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","C_w","C_sd","concentration_units"
"P_00048","Source00023",0.287499999999924,6.16249999999984,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00109390729257852,NA,"CFU/L"
"P_00049","Source00024",0.27916666666659,6.15416666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012294439808195,NA,"CFU/L"
"P_00050","P_00051",0.27916666666659,6.11249999999984,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00132818314842263,NA,"CFU/L"
"P_00051","Source00025",0.270833333333258,6.10416666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00129802984056935,NA,"CFU/L"
"P_00052","P_00057",0.270833333333258,6.09583333333318,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0342507449791566,NA,"CFU/L"
"P_00053","Source00026",0.404166666666591,6.08712942978234,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CFU/L"
"P_00054","P_00055",0.40416666666659,6.07916666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0446242578473432,NA,"CFU/L"
"P_00055","Source00027",0.40416666666659,6.07916666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52870609246521,NA,"CFU/L"
"P_00056","P_00142",0.408703984453172,6.07916668249471,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51619148548782,NA,"CFU/L"
"P_00057","Source00028",0.270833333333258,6.09583333333318,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721373871028406,NA,"CFU/L"
